Num,Player,Wins,Losses,Win Pct,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF Total,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA Total,Pts Pct
1,Spike,3,4,0.429,10,10,9,4,6,6,10,-,55,8,5,10,10,10,10,2,-,55,0.500
2,House,1,6,0.143,-,3,5,2,7,10,6,6,39,-,10,10,10,10,4,10,10,64,0.379
3,Abs,4,3,0.571,10,6,5,10,10,0,-,10,51,1,10,10,5,5,10,-,6,47,0.520
4,Mentle,4,4,0.500,2,6,7,10,10,8,10,10,63,10,10,10,2,7,10,7,6,62,0.504
5,Silberberg,2,5,0.286,10,6,-,2,5,10,9,6,48,8,10,-,10,10,7,10,10,65,0.425
6,Shutts,4,4,0.500,2,5,10,10,7,10,10,6,60,10,10,3,2,10,5,5,10,55,0.522
7,Harris,4,4,0.500,1,10,8,4,10,10,7,10,60,10,1,10,10,8,3,10,6,58,0.508
8,Leibly,1,6,0.143,3,8,4,2,2,-,4,10,33,10,10,10,10,10,-,10,6,66,0.333
9,Pound,3,5,0.375,8,10,5,10,6,3,10,0,52,10,5,10,2,10,10,8,10,65,0.444
10,Kong,5,3,0.625,10,10,10,2,10,7,10,0,59,9,8,7,10,6,10,4,10,64,0.480
11,Chesty,7,1,0.875,10,10,10,10,10,10,4,10,74,2,6,5,4,8,8,10,0,43,0.632
12,DiPesa,3,4,0.429,9,-,10,4,10,4,5,10,52,10,-,9,10,5,10,10,0,54,0.491
13,Tex,8,0,1.000,10,10,10,10,10,10,10,10,80,5,6,2,2,5,4,4,3,31,0.721
14,Chess,6,2,0.750,10,3,10,10,6,10,10,10,69,9,10,4,4,10,7,7,3,54,0.561
15,Mary,3,5,0.375,9,10,10,2,7,10,5,3,56,10,6,8,10,10,6,10,10,70,0.444
16,Kramer,3,5,0.375,7,10,3,10,10,3,4,3,50,10,5,10,2,2,10,10,10,59,0.459
17,Cureton,7,1,0.875,10,10,10,10,2,10,10,10,72,5,3,5,4,10,8,5,6,46,0.610
18,Chachkes,4,3,0.571,1,5,10,10,-,5,10,10,51,10,10,7,4,-,10,4,6,51,0.500
19,Aviv,4,4,0.500,3,10,9,2,10,10,10,6,60,10,5,10,10,7,3,9,10,64,0.484
20,O’Leary,4,4,0.500,10,10,10,10,5,7,8,6,66,7,1,5,2,10,10,10,10,55,0.545
21,Mott,5,2,0.714,5,10,10,-,8,10,10,10,63,10,5,4,-,10,8,4,3,44,0.589
22,Rechtin,3,5,0.375,10,8,8,5,10,4,2,10,57,7,10,10,10,6,10,10,3,66,0.463
23,Fields,3,5,0.375,10,6,10,4,5,0,10,3,48,3,10,3,10,10,10,8,10,64,0.429
24,Frankel,2,6,0.250,10,5,2,10,6,8,6,3,50,1,10,10,2,10,10,10,10,63,0.442
25,Ponzio,4,4,0.500,5,10,10,2,10,10,7,1,55,10,8,9,10,7,0,10,10,64,0.462
26,Cooper,4,4,0.500,10,10,5,10,10,8,9,1,63,9,5,10,5,2,10,10,10,61,0.508
27,Lineman,4,4,0.500,7,5,7,10,10,6,10,10,65,10,10,10,4,5,10,6,1,56,0.537
28,Wee,7,1,0.875,10,10,10,10,8,10,10,10,78,9,6,5,2,10,5,2,1,40,0.661
29,Crash,1,7,0.125,8,1,4,5,7,5,10,6,46,10,10,10,10,10,10,6,10,76,0.377
30,Rooze,3,5,0.375,9,5,10,4,10,10,8,6,62,10,10,2,10,7,8,10,10,67,0.481
31,Bocci,1,7,0.125,9,5,3,2,5,8,2,10,44,10,10,10,10,10,10,10,6,76,0.367
32,Struble,7,1,0.875,10,10,10,4,10,10,10,10,74,2,3,8,10,6,0,9,6,44,0.627
33,Aguirre,4,4,0.500,10,1,2,10,10,10,4,6,53,3,10,10,4,6,6,10,10,59,0.473
